Nanopore barcode ID,BC3,BC4
barcode49,Apam1,AKE2
barcode50,Apam17,AKE5
barcode51,Apam20,AKE6
barcode52,Apam30,KYE1
barcode53,Apam34,KYE2
barcode54,Apam38,KYE3
barcode55,ANT5,KYE4
barcode56,ANT7,KYE5
barcode57,ANT8,KYE6
barcode58,ANT9,KYE7
barcode59,ANT10,AKL1
barcode60,ANT14,AKL2
barcode61,ANT15,AKL3
barcode62,ANT16,AKL4
barcode63,ANT18,AKL5
barcode64,ANT20,AKL6
barcode65,ANT21,AKL7
barcode66,ANT22,AKL8
barcode67,ANT23,AKL9
barcode68,DP1,AKL10
barcode69,DP2,AKL11
barcode70,DP3,AKL12
barcode71,DP5,AKL13
barcode72,DP6,AKL14
barcode73,DP9,AKL15
barcode74,DP11,AKL16
barcode75,DP12,AKL17
barcode76,DP13,AKL18
barcode77,OTU1,AKL19
barcode78,OTU4,AKL20
barcode79,OTU5,AKL21
barcode80,OTU6,AKL22
barcode81,OTU7,AKL23
barcode82,OTU8,AKL24
barcode83,OTU9,AKL25
barcode84,OTU10,AKL26
barcode86,OTU13,AKL28
barcode87,OTU14,AKL29
barcode88,OTU15,AKL30
barcode89,OTU16,AKL31
barcode90,OTU17,AKL32
barcode91,OTU18,AKL33
barcode92,OTU19,AKL34
barcode93,OTU20,AKL35
barcode94,OTU22,AKL36
