sample,reads
sample51,sample51.fastq
sample91,sample91.fastq
sample82,sample82.fastq
sample48,sample48.fastq
sample65,sample65.fastq
sample70,sample70.fastq
sample26_67,sample26_67.fastq
sample63,sample63.fastq
sample85,sample85.fastq
sample3,sample3.fastq
sample41,sample41.fastq
sample10,sample10.fastq
sample47,sample47.fastq
sample64,sample64.fastq
sample74,sample74.fastq
sample57,sample57.fastq
sample12,sample12.fastq
sample89,sample89.fastq
sample32,sample32.fastq
sample53,sample53.fastq
sample76,sample76.fastq
sample87,sample87.fastq
sample35,sample35.fastq
sample79,sample79.fastq
sample25_91,sample25_91.fastq
sample67,sample67.fastq
sample46,sample46.fastq
sample61,sample61.fastq
sample83,sample83.fastq
sample69,sample69.fastq
sample27_62,sample27_62.fastq
sample66,sample66.fastq
